order_id,timestamp,market_id,account_id,side,price,quantity,action,label
O000001,2026-06-01 09:30:00,SP500-ABOVE-6000-JUN,ACCT038,buy,41,109,fill,clean
O000002,2026-06-01 09:30:03,PRES-2028-DEM,ACCT029,buy,49,72,cancel,clean
O000003,2026-06-01 09:30:06,PRES-2028-DEM,ACCT006,buy,55,98,fill,clean
O000004,2026-06-01 09:30:09,FED-CUT-JUL26,ACCT006,sell,31,142,fill,clean
O000005,2026-06-01 09:30:12,SP500-ABOVE-6000-JUN,ACCT006,sell,41,60,cancel,clean
O000006,2026-06-01 09:30:15,FED-CUT-JUL26,ACCT018,buy,41,19,fill,clean
O000007,2026-06-01 09:30:18,PRES-2028-DEM,ACCT004,sell,60,59,cancel,clean
O000008,2026-06-01 09:30:21,FED-CUT-JUL26,ACCT032,buy,60,102,cancel,clean
O000009,2026-06-01 09:30:24,SP500-ABOVE-6000-JUN,ACCT038,sell,58,103,fill,clean
O000010,2026-06-01 09:30:27,PRES-2028-DEM,ACCT028,buy,52,17,fill,clean
O000011,2026-06-01 09:30:30,SP500-ABOVE-6000-JUN,ACCT022,sell,65,29,fill,clean
O000012,2026-06-01 09:30:33,PRES-2028-DEM,ACCT020,buy,42,130,fill,clean
O000013,2026-06-01 09:30:36,PRES-2028-DEM,ACCT032,sell,44,5,fill,clean
O000014,2026-06-01 09:30:39,FED-CUT-JUL26,ACCT005,sell,58,137,cancel,clean
O000015,2026-06-01 09:30:42,PRES-2028-DEM,ACCT035,buy,62,52,cancel,clean
O000016,2026-06-01 09:30:45,FED-CUT-JUL26,ACCT022,buy,42,6,fill,clean
O000017,2026-06-01 09:30:48,PRES-2028-DEM,ACCT003,buy,50,85,fill,clean
O000018,2026-06-01 09:30:51,PRES-2028-DEM,ACCT031,buy,56,105,fill,clean
O000019,2026-06-01 09:30:54,PRES-2028-DEM,ACCT004,buy,56,104,cancel,clean
O000020,2026-06-01 09:30:57,PRES-2028-DEM,ACCT030,sell,62,64,cancel,clean
O000021,2026-06-01 09:31:00,PRES-2028-DEM,ACCT016,buy,60,43,fill,clean
O000022,2026-06-01 09:31:03,FED-CUT-JUL26,ACCT030,sell,45,74,fill,clean
O000023,2026-06-01 09:31:06,SP500-ABOVE-6000-JUN,ACCT004,sell,58,13,fill,clean
O000024,2026-06-01 09:31:09,SP500-ABOVE-6000-JUN,ACCT016,buy,54,104,fill,clean
O000025,2026-06-01 09:31:12,SP500-ABOVE-6000-JUN,ACCT014,sell,40,81,fill,clean
O000026,2026-06-01 09:31:15,FED-CUT-JUL26,ACCT040,sell,57,145,cancel,clean
O000027,2026-06-01 09:31:18,PRES-2028-DEM,ACCT024,buy,49,73,fill,clean
O000028,2026-06-01 09:31:21,SP500-ABOVE-6000-JUN,ACCT007,sell,47,35,fill,clean
O000029,2026-06-01 09:31:24,PRES-2028-DEM,ACCT017,buy,66,130,fill,clean
O000030,2026-06-01 09:31:27,PRES-2028-DEM,ACCT011,sell,46,114,fill,clean
