trade_id,timestamp,market_id,buyer,seller,price,quantity,aggressor_side,label
T000001,2026-06-01 09:30:00,SP500-ABOVE-6000-JUN,ACCT008,ACCT002,49,36,buy,clean
T000002,2026-06-01 09:30:03,PRES-2028-DEM,ACCT014,ACCT015,47,51,sell,clean
T000003,2026-06-01 09:30:06,PRES-2028-DEM,ACCT011,ACCT028,46,196,sell,clean
T000004,2026-06-01 09:30:09,FED-CUT-JUL26,ACCT039,ACCT017,56,138,buy,clean
T000005,2026-06-01 09:30:12,SP500-ABOVE-6000-JUN,ACCT040,ACCT024,33,12,buy,clean
T000006,2026-06-01 09:30:15,FED-CUT-JUL26,ACCT018,ACCT030,42,95,sell,clean
T000007,2026-06-01 09:30:18,PRES-2028-DEM,ACCT035,ACCT016,56,164,buy,clean
T000008,2026-06-01 09:30:21,FED-CUT-JUL26,ACCT026,ACCT018,74,146,sell,clean
T000009,2026-06-01 09:30:24,SP500-ABOVE-6000-JUN,ACCT030,ACCT010,49,144,sell,clean
T000010,2026-06-01 09:30:27,PRES-2028-DEM,ACCT033,ACCT032,53,29,buy,clean
T000011,2026-06-01 09:30:30,SP500-ABOVE-6000-JUN,ACCT030,ACCT034,49,3,buy,clean
T000012,2026-06-01 09:30:33,PRES-2028-DEM,ACCT030,ACCT001,73,68,buy,clean
T000013,2026-06-01 09:30:36,PRES-2028-DEM,ACCT024,ACCT011,29,136,buy,clean
T000014,2026-06-01 09:30:39,FED-CUT-JUL26,ACCT020,ACCT016,73,21,buy,clean
T000015,2026-06-01 09:30:42,PRES-2028-DEM,ACCT031,ACCT036,57,156,sell,clean
T000016,2026-06-01 09:30:45,FED-CUT-JUL26,ACCT024,ACCT029,60,64,buy,clean
T000017,2026-06-01 09:30:48,PRES-2028-DEM,ACCT038,ACCT015,68,16,buy,clean
T000018,2026-06-01 09:30:51,PRES-2028-DEM,ACCT018,ACCT032,51,147,sell,clean
T000019,2026-06-01 09:30:54,PRES-2028-DEM,ACCT028,ACCT023,38,187,buy,clean
T000020,2026-06-01 09:30:57,PRES-2028-DEM,ACCT016,ACCT013,54,109,buy,clean
T000021,2026-06-01 09:31:00,PRES-2028-DEM,ACCT029,ACCT036,64,139,buy,clean
T000022,2026-06-01 09:31:03,FED-CUT-JUL26,ACCT014,ACCT026,55,1,sell,clean
T000023,2026-06-01 09:31:06,SP500-ABOVE-6000-JUN,ACCT036,ACCT032,55,15,buy,clean
T000024,2026-06-01 09:31:09,SP500-ABOVE-6000-JUN,ACCT034,ACCT011,63,48,buy,clean
T000025,2026-06-01 09:31:12,SP500-ABOVE-6000-JUN,ACCT016,ACCT038,36,108,sell,clean
T000026,2026-06-01 09:31:15,FED-CUT-JUL26,ACCT009,ACCT020,23,19,buy,clean
T000027,2026-06-01 09:31:18,PRES-2028-DEM,ACCT035,ACCT014,43,90,buy,clean
T000028,2026-06-01 09:31:21,SP500-ABOVE-6000-JUN,ACCT020,ACCT040,71,136,buy,clean
T000029,2026-06-01 09:31:24,PRES-2028-DEM,ACCT036,ACCT010,47,184,sell,clean
T000030,2026-06-01 09:31:27,PRES-2028-DEM,ACCT006,ACCT028,51,86,buy,clean
T000031,2026-06-01 09:31:30,FED-CUT-JUL26,ACCT036,ACCT001,72,177,buy,clean
T000032,2026-06-01 09:31:33,FED-CUT-JUL26,ACCT009,ACCT003,40,11,sell,clean
T000033,2026-06-01 09:31:36,SP500-ABOVE-6000-JUN,ACCT027,ACCT040,49,61,buy,clean
T000034,2026-06-01 09:31:39,FED-CUT-JUL26,ACCT027,ACCT016,47,28,sell,clean
T000035,2026-06-01 09:31:42,FED-CUT-JUL26,ACCT023,ACCT020,60,58,buy,clean
T000036,2026-06-01 09:31:45,PRES-2028-DEM,ACCT018,ACCT023,42,138,sell,clean
T000037,2026-06-01 09:31:48,FED-CUT-JUL26,ACCT003,ACCT007,40,81,sell,clean
T000038,2026-06-01 09:31:51,PRES-2028-DEM,ACCT028,ACCT001,28,176,buy,clean
T000039,2026-06-01 09:31:54,FED-CUT-JUL26,ACCT040,ACCT021,46,77,sell,clean
T000040,2026-06-01 09:31:57,SP500-ABOVE-6000-JUN,ACCT009,ACCT013,24,174,buy,clean
T000041,2026-06-01 09:32:00,FED-CUT-JUL26,ACCT019,ACCT014,35,168,sell,clean
T000042,2026-06-01 09:32:03,SP500-ABOVE-6000-JUN,ACCT031,ACCT011,44,170,sell,clean
T000043,2026-06-01 09:32:06,PRES-2028-DEM,ACCT010,ACCT002,83,157,buy,clean
T000044,2026-06-01 09:32:09,SP500-ABOVE-6000-JUN,ACCT025,ACCT032,44,177,buy,clean
T000045,2026-06-01 09:32:12,SP500-ABOVE-6000-JUN,ACCT034,ACCT030,58,32,sell,clean
T000046,2026-06-01 09:32:15,SP500-ABOVE-6000-JUN,ACCT021,ACCT029,35,130,sell,clean
T000047,2026-06-01 09:32:18,PRES-2028-DEM,ACCT018,ACCT034,41,113,buy,clean
T000048,2026-06-01 09:32:21,SP500-ABOVE-6000-JUN,ACCT006,ACCT009,56,40,buy,clean
T000049,2026-06-01 09:32:24,FED-CUT-JUL26,ACCT027,ACCT004,53,198,buy,clean
T000050,2026-06-01 09:32:27,FED-CUT-JUL26,ACCT025,ACCT027,31,155,buy,clean
T000051,2026-06-01 09:32:30,PRES-2028-DEM,ACCT025,ACCT022,39,186,buy,clean
T000052,2026-06-01 09:32:33,FED-CUT-JUL26,ACCT038,ACCT037,47,110,buy,clean
T000053,2026-06-01 09:32:36,FED-CUT-JUL26,ACCT014,ACCT030,40,98,sell,clean
T000054,2026-06-01 09:32:39,SP500-ABOVE-6000-JUN,ACCT035,ACCT004,61,167,buy,clean
T000055,2026-06-01 09:32:42,PRES-2028-DEM,ACCT040,ACCT010,50,30,buy,clean
T000056,2026-06-01 09:32:45,SP500-ABOVE-6000-JUN,ACCT008,ACCT011,55,7,sell,clean
T000057,2026-06-01 09:32:48,SP500-ABOVE-6000-JUN,ACCT016,ACCT007,46,176,buy,clean
T000058,2026-06-01 09:32:51,FED-CUT-JUL26,ACCT005,ACCT033,48,108,sell,clean
